City_CH,City_EN,FID,Field_1,GbCity,GbProv,Prov_CH,Prov_EN,T_D_1010,T_C_1010,Population,PM2.5,Death_rate,PM10,CO,NO2,O3,SO2
盘锦市,Panjin,46,189,2111,21,辽宁省,Liaoning,0,11,74.46,36.33333333,0.00,68.45833333,0.87875,38.625,31.125,20.58333333
铁岭市,Tieling,47,247,2112,21,辽宁省,Liaoning,0,8,38.4,88.95833333,0.00,115.9166667,1.009583333,55.04166667,23.25,24.5
朝阳市,Chaoyang,48,36,2113,21,辽宁省,Liaoning,1,6,57.45,70.45833333,16.67,108.5416667,1.887916667,43.91666667,24.625,41.08333333
葫芦岛市,Huludao,49,103,2114,21,辽宁省,Liaoning,1,12,68.3,65.625,8.33,119.7916667,1.661666667,49.83333333,20.04166667,59.58333333
长春市,Changchun,50,321,2201,22,吉林省,Jilin,0,45,361.92,74.79166667,0.00,86.5,1.147083333,52.20833333,23.5,28.33333333
吉林市,Jilin,51,116,2202,22,吉林省,Jilin,1,48,1051.48,72.125,2.08,89.66666667,1.187916667,44.45833333,38.25,23.91666667
四平市,Siping,52,233,2203,22,吉林省,Jilin,1,17,54.41,59.54166667,5.88,98.70833333,1.313333333,48.20833333,29.25,21.08333333
辽源市,Liaoyuan,53,150,2204,22,吉林省,Jilin,0,7,45.06,85.04166667,0.00,103.2083333,1.68125,44.29166667,30.5,21.33333333
通化市,Tonghua,54,248,2205,22,吉林省,Jilin,0,6,43.39,66.5,0.00,94.16666667,1.635416667,50.20833333,16.75,31.125
松原市,Songyuan,56,234,2207,22,吉林省,Jilin,0,2,40.48,54.66666667,0.00,83.08333333,1.008333333,41.41666667,29.5,11.79166667
白城市,Baicheng,57,14,2208,22,吉林省,Jilin,0,1,24.22,35.08333333,0.00,55.375,0.675,21.625,50.16666667,14.125
哈尔滨市,Haerbin,59,79,2301,23,黑龙江省,Heilongjiang,4,264,421.4,90.54166667,1.52,100.9166667,1.015833333,44.16666667,32.66666667,34.45833333
齐齐哈尔市,Qiqihaer,60,196,2302,23,黑龙江省,Heilongjiang,1,43,107.76,25.41666667,2.33,37.54166667,0.648333333,18.54166667,44.16666667,24.20833333
鸡西市,Jixi,61,114,2303,23,黑龙江省,Heilongjiang,0,46,65.77,22.29166667,0.00,31.29166667,0.797916667,15.125,30.91666667,2.958333333
鹤岗市,Hegang,62,96,2304,23,黑龙江省,Heilongjiang,0,5,51.9,28.625,0.00,49.45833333,0.564166667,8.083333333,51.91666667,12.125
双鸭山市,Shuangyashan,63,230,2305,23,黑龙江省,Heilongjiang,3,52,44.3,28.875,5.77,44.625,0.625,15.33333333,50.91666667,17.16666667
大庆市,Daqing,64,48,2306,23,黑龙江省,Heilongjiang,1,27,115.3,33.29166667,3.70,45.04166667,0.56,25.25,41.04166667,12.5
伊春市,Yichun,65,297,2307,23,黑龙江省,Heilongjiang,0,1,53.9,54.83333333,0.00,62.29166667,0.8375,23.45833333,36.41666667,13.29166667
佳木斯市,Jiamusi,66,119,2308,23,黑龙江省,Heilongjiang,0,15,58.5,36.04166667,0.00,42.625,0.485,18.29166667,50.08333333,11.66666667
七台河市,Qitaihe,67,195,2309,23,黑龙江省,Heilongjiang,0,17,37.69,41.875,0.00,64.45833333,0.7375,38.29166667,40,15.54166667
牡丹江市,Mudanjiang,68,174,2310,23,黑龙江省,Heilongjiang,0,25,66.5,51.20833333,0.00,69.54166667,0.749583333,33.54166667,33.66666667,18.41666667
黑河市,Heihe,69,97,2311,23,黑龙江省,Heilongjiang,0,14,13.46,15.5,0.00,20.58333333,0.166666667,9.041666667,62.20833333,8.458333333
绥化市,Suihua,70,236,2312,23,黑龙江省,Heilongjiang,4,47,35.52,80.20833333,8.51,86.91666667,0.7,30.95833333,40.66666667,21.16666667
上海市,Shanghai,72,219,3100,31,上海市,Shanghai,7,1048,2423.78,14.20833333,0.67,23.66666667,0.418333333,41.625,41.625,6.25
南京市,Nanjing,73,178,3201,32,江苏省,Jiangsu,0,93,622.79,35.54166667,0.00,60.04166667,0.6175,55.125,22.58333333,5.625
无锡市,Wuxi,74,262,3202,32,江苏省,Jiangsu,0,55,225.79,22.58333333,0.00,45.66666667,0.627083333,50.58333333,21.83333333,6.666666667
徐州市,Xuzhou,75,286,3203,32,江苏省,Jiangsu,0,79,195.76,55.41666667,0.00,78.25,0.6925,38.66666667,29.29166667,7.583333333
常州市,Changzhou,76,34,3204,32,江苏省,Jiangsu,0,51,161.83,35.66666667,0.00,55.45833333,0.712083333,53.95833333,22.91666667,9.5
