City_EN,Prov_EN,City_CN,PM10_Poll_Ind,PM10,PM2.5_Poll_Ind,PM2.5,CO_Poll_Ind,CO,NO2_Poll_Ind,NO2,O3_Poll_Ind,O3,SO2_Poll_Ind,SO2,Population,Urban_Area_Sq_Km,Pop_Dens_Proxy,Green_Space,Urban_Rail_Ind,Industrial_Manufacturing,Road_Street_Trans,Arable_Land,T_C_0129,T_C_0130,T_C_0131,T_C_0201,T_C_0202,T_C_0203,T_C_0204,T_C_0205,T_C_0206,T_C_0207,T_C_0208,T_C_0209,T_C_0210,T_C_0211,T_C_0212,T_C_0213,T_C_0214,T_C_0215
Qitaihe,Heilongjiang,???,0,64.45833333,0,41.875,0,0.7375,0,38.29166667,0,40,0,15.54166667,37.69,67.6,0.557544379,2.7,0,9.23,10.7,0.15,2,3,5,6,7,8,9,9,10,11,13,14,15,15,16,16,16,16
Mudanjiang,Heilongjiang,???,0,69.54166667,0,51.20833333,0,0.749583333,0,33.54166667,0,33.66666667,0,18.41666667,66.5,92.68,0.717522659,3.33,0,19.43,9.71,0,1,2,6,7,8,8,9,10,11,13,12,12,12,12,12,12,12,12
Heihe,Heilongjiang,??,0,20.58333333,0,15.5,0,0.166666667,0,9.041666667,0,62.20833333,0,8.458333333,13.46,27.88,0.482783357,2.91,0,2.13,2.12,0,0,0,0,1,1,1,1,1,1,2,2,4,4,6,10,13,13,14
Suihua,Heilongjiang,??,0,86.91666667,1,80.20833333,0,0.7,0,30.95833333,0,40.66666667,0,21.16666667,35.52,92.77,0.382882397,1.3,0,11.82,6.45,2.22,10,12,13,14,16,22,24,29,39,44,35,37,39,43,45,45,46,46
Shanghai,Shanghai,??,0,23.66666667,0,14.20833333,0,0.418333333,0,41.625,0,41.625,0,6.25,2423.78,6340.5,0.382269537,139.36,1,547.52,137.58,13.03,101,128,153,177,193,208,233,254,269,281,292,295,302,306,313,318,326,328
Nanjing,Jiangsu,??,0,60.04166667,0,35.54166667,0,0.6175,0,55.125,0,22.58333333,0,5.625,622.79,4226.41,0.14735674,81.55,1,163.09,124.49,11.51,19,25,28,35,40,44,47,52,57,65,71,78,84,87,90,91,91,92
Wuxi,Jiangsu,??,0,45.66666667,0,22.58333333,0,0.627083333,0,50.58333333,0,21.83333333,0,6.666666667,225.79,1261.26,0.179019393,33.32,1,70.88,44.52,3.01,10,12,13,19,23,25,26,28,31,34,38,41,45,48,49,51,52,53
Xuzhou,Jiangsu,??,0,78.25,0,55.41666667,0,0.6925,0,38.66666667,0,29.29166667,0,7.583333333,195.76,604.78,0.323687953,33.22,1,60.37,35.43,5.42,15,20,23,30,36,39,45,45,49,52,56,60,63,66,71,76,77,78
Changzhou,Jiangsu,??,0,55.45833333,0,35.66666667,0,0.712083333,0,53.95833333,0,22.91666667,0,9.5,161.83,772.51,0.209485961,36.74,1,88.76,45.25,30.71,10,13,14,15,15,19,24,27,29,31,31,31,31,36,38,43,43,46
Suzhou,Jiangsu,??,0,31.29166667,0,21.08333333,0,0.478333333,0,40.08333333,0,34.45833333,0,2.75,277.08,1523.88,0.181825341,55.99,1,129.06,67.75,4.09,24,32,34,38,44,52,2,60,69,72,75,77,80,84,85,85,86,86
Nantong,Jiangsu,??,0,33.75,0,20.79166667,0,0.454583333,0,31.70833333,0,36.75,0,7.708333333,117.26,398,0.294623116,20.35,1,61.22,36.23,3.63,9,10,12,17,19,22,1,27,29,31,32,33,35,37,38,39,40,40
Lianyungang,Jiangsu,???,0,45.91666667,0,32.20833333,1,0.810416667,0,28.29166667,0,31.625,0,13.41666667,94.37,718.5,0.131343076,8.87,0,52.1,30.03,2.32,6,9,13,13,14,17,20,22,24,27,32,35,37,39,42,45,46,48
Yancheng,Jiangsu,??,0,44.75,0,26.45833333,0,0.405,0,37.75,0,31.875,0,3.083333333,129.67,608.76,0.213006768,5.71,0,55.51,23.54,5.1,6,8,13,15,15,15,15,16,16,17,17,18,18,21,25,26,27,27
Yangzhou,Jiangsu,??,0,63.16666667,0,45.95833333,1,0.810833333,0,52.70833333,0,16.29166667,0,8.083333333,106.78,415.34,0.257090576,30.55,0,37.31,28.94,1.41,8,8,13,13,14,15,15,15,17,17,18,18,18,18,20,20,21,22
Zhenjiang,Jiangsu,??,0,60.83333333,0,41.375,0,0.552916667,0,49.95833333,0,19.45833333,0,9.75,79.25,555.43,0.142682246,16.18,0,38.93,18.77,8.34,2,2,2,3,3,5,6,8,9,11,12,12,12,12,12,12,12,12
Taizhou,Jiangsu,??,0,50.375,0,34.125,0,0.64125,0,31.5,0,37.875,0,6.833333333,84.58,441.44,0.191600217,5.81,0,32.29,24.77,0,9,12,17,17,21,23,26,28,29,30,30,31,34,36,37,37,37,37
Suqian,Jiangsu,??,0,69.83333333,0,56.08333333,0,0.60125,0,38.75,0,23.625,0,6.875,72.3,359.32,0.201213403,8.9,0,27.14,16.92,3.43,4,7,8,8,9,10,11,11,12,12,12,12,12,12,12,12,12,13
Hangzhou,Zhejiang,??,0,82.16666667,0,41.625,0,0.76,0,54.08333333,0,22.16666667,0,6.916666667,386.12,1726.96,0.223583638,72.19,1,88.52,105.36,11.79,69,85,69,110,118,132,141,151,156,162,165,155,157,159,162,165,166,166
Ningbo,Zhejiang,??,0,36.29166667,0,19.16666667,0,0.515416667,0,39.5,0,35.625,0,11.04166667,197.97,1097,0.180464904,28.19,1,127.77,62.32,7.2,41,46,41,66,75,102,120,126,136,141,146,149,151,153,153,153,154,155
Wenzhou,Zhejiang,??,0,47,0,20.83333333,0,0.509583333,0,37.29166667,0,34.75,0,10.25,154.14,849.26,0.181499188,24.95,1,5.76,36.88,2.57,172,227,172,265,291,340,364,396,421,438,448,464,474,481,490,496,499,502
Jiaxing,Zhejiang,??,0,35.66666667,0,19.25,0,0.464583333,0,39.83333333,0,37.04166667,0,7.583333333,44.88,257,0.17463035,20.48,0,25.66,20.99,3.39,16,16,16,19,19,23,27,30,35,37,38,40,40,42,42,42,43,43
Huzhou,Zhejiang,??,0,70.70833333,0,37.54166667,0,0.708333333,0,51.75,0,24.41666667,0,11.91666667,55.52,640.69,0.086656573,5.9,0,31.35,26.83,0.8,5,6,5,6,9,9,9,9,9,10,10,10,10,10,10,10,10,10
Shaoxing,Zhejiang,??,0,64.5,0,33.79166667,1,0.807916667,0,43.04166667,0,24.75,0,5.083333333,100.81,497.04,0.202820699,17.25,1,62.83,31.19,4.46,19,23,19,27,30,30,30,33,34,36,38,41,41,41,41,42,42,42
Jinhua,Zhejiang,??,0,74,0,46.16666667,0,0.614166667,0,55.16666667,0,19.29166667,0,9.416666667,57.91,579.69,0.099898221,12.61,1,24.57,18.63,1.69,20,27,20,34,36,40,44,47,48,52,53,53,53,54,55,55,55,55
Quzhou,Zhejiang,??,0,61.91666667,0,33.875,0,0.638333333,0,45.79166667,0,31.41666667,0,7.625,29.89,200.1,0.149375312,7.3,0,26.99,13.21,1.6,10,12,10,13,14,15,15,15,15,15,15,15,21,21,21,21,21,21
Zhoushan,Zhejiang,??,0,17.75,0,7.916666667,0,0.408333333,0,22.04166667,0,52.20833333,0,7.166666667,51.41,578.7,0.088837049,8.21,0,6.63,10.35,1.29,6,7,6,7,7,7,7,7,7,7,7,7,10,10,10,10,10,10
Taizhou,Zhejiang,??,0,50.375,0,34.125,0,0.64125,0,31.5,0,37.875,0,6.833333333,84.58,441.44,0.191600217,5.81,0,32.29,24.77,0,64,81,64,100,109,115,122,124,129,133,138,141,143,143,144,144,145,146
Lishui,Zhejiang,??,0,57.79166667,0,30.16666667,0,0.685833333,0,33.375,0,28.54166667,0,5.791666667,21.9,266.13,0.08229061,4.33,0,4.36,4.47,0.27,6,7,6,14,16,16,16,16,16,17,17,17,17,17,17,17,17,17
Hefei,Anhui,??,0,74.95833333,0,47.125,0,0.757916667,0,59.375,0,9.208333333,0,7.333333333,227.84,1126.61,0.202235024,78.7,1,81.75,72.08,34.91,39,50,59,59,75,81,93,104,115,128,136,147,150,157,161,166,168,169
Wuhu,Anhui,??,0,63.75,0,57.29166667,0,0.702916667,0,55.5,0,12.54166667,0,8.375,115.2,721.7,0.159623112,43,1,14,38,6.78,14,14,15,16,16,21,23,26,27,29,29,30,31,31,31,31,31,31
Bengbu,Anhui,??,0,75.875,0,50.33333333,0,0.57125,0,43.70833333,0,23.125,0,15.91666667,80.97,365.48,0.221544271,9.47,0,26.1,23.96,2.16,8,15,16,26,37,43,48,64,88,99,115,126,134,141,146,149,153,157
Huainan,Anhui,??,0,83.125,0,55.875,0,0.761666667,0,50.375,0,17.125,0,14.54166667,105.37,469.02,0.224659929,3.23,0,18.65,16.49,4.15,6,6,6,6,7,8,12,12,14,21,22,23,24,24,23,23,23,24
Maanshan,Anhui,???,0,70.91666667,0,55.79166667,0,0.681666667,0,49.875,0,14.58333333,0,9.416666667,59,175.84,0.335532302,7.22,0,33.62,13.5,1.63,14,14,22,27,28,28,30,30,30,31,31,31,32,32,32,34,35,36
Huaibei,Anhui,??,0,76.75,0,52.79166667,0,0.5325,0,36.75,0,33.25,0,8.041666667,63.35,210,0.301666667,9.67,0,19.28,11.46,3.12,2,2,6,6,8,11,14,17,22,22,23,23,24,24,25,25,26,26
Tongling,Anhui,??,0,79.58333333,0,46.20833333,1,0.80625,0,48.41666667,0,23.58333333,0,14,43.44,205.6,0.211284047,5.88,0,23.88,9.77,0,10,14,16,16,18,19,19,20,22,23,24,25,27,27,28,28,28,28
Anqing,Anhui,??,0,58.95833333,0,46.20833333,0,0.6875,0,42.83333333,0,32.20833333,0,13.66666667,57.64,311.5,0.185040128,6.63,0,10.41,10.26,5.6,18,18,37,43,47,55,56,60,66,71,75,78,80,80,80,81,82,82
Huangshan,Anhui,??,0,41.66666667,0,26.41666667,0,0.518333333,0,19.875,0,45.33333333,0,5.875,28.63,461.8,0.061996535,6.67,0,9.95,9.76,1.25,7,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Chuzhou,Anhui,??,0,68.75,0,47.91666667,0,0.730833333,0,63.16666667,0,21.5,0,6.791666667,38.88,282.6,0.137579618,6.16,0,24.05,18.24,4.89,4,4,6,6,8,11,11,11,11,11,11,12,12,12,13,13,13,13
Fuyang,Anhui,??,1,100.7083333,1,69.70833333,0,0.71,0,48.25,0,12.875,0,6.583333333,84.5,338.87,0.249358161,7.19,0,22.52,22.53,27.22,28,38,47,59,65,79,84,95,105,113,118,125,132,138,142,146,150,152
Suzhou,Anhui,??,0,31.29166667,0,21.08333333,0,0.478333333,0,40.08333333,0,34.45833333,0,2.75,277.08,1523.88,0.181825341,55.99,1,129.06,67.75,4.09,10,10,12,14,21,23,24,25,27,28,28,31,33,36,38,39,39,39
Liuan,Anhui,??,0,70,0,41.75,1,0.886666667,0,36.04166667,0,30.70833333,0,6.416666667,44.35,166.12,0.26697568,12.94,0,13.51,11.97,0.87,8,9,13,13,20,30,34,36,41,51,54,57,59,59,60,61,63,65
