City_CH,City_EN,FID,Field_1,GbCity,GbProv,Prov_CH,Prov_EN,T_D_1010,T_C_1010,Population,PM2.5,Death_rate,PM10,CO,NO2,O3,SO2
肇庆市,Zhaoqing,205,325,4412,44,广东省,Guangdong,1,20,64.09,41.20833333,5,60.29166667,0.985,39.875,34.45833333,16.33333333
东莞市,Dongguan,212,57,4419,44,广东省,Guangdong,1,101,231.58,48.625,0.99,58.25,0.89,31.70833333,34.04166667,10.20833333
北海市,Beihai,221,23,4505,45,广西省,Guangxi,1,44,39.07,44.54166667,2.27,64.75,1.06375,18,74.41666667,10
河池地区,Hechidiqu,230,91,4527,45,广西省,Guangxi,1,28,34.54,54.125,3.57,78.45833333,1.020833333,25.16666667,42.20833333,9.625
三亚市,Sanya,232,212,4602,46,海南省,Hainan,1,55,33.54,8.208333333,1.82,17.25,0.65625,5.666666667,69.41666667,4.416666667
重庆市,Chongqing,234,330,5000,50,重庆市,Chongqing,6,585,1150.52,66.45833333,1.03,92.16666667,0.977916667,50.04166667,15.41666667,10.45833333
成都市,Chengdu,235,39,5101,51,四川省,Sichuan,3,324,721.62,102.7916667,0.93,124.2083333,0.92125,44.625,16.08333333,6.291666667
贵阳市,Guiyang,256,76,5201,52,贵州省,Guizhou,1,36,213.24,28.45833333,2.78,43.33333333,0.660833333,19.375,40.08333333,12.79166667
六盘水市,Liupanshui,257,160,5202,52,贵州省,Guizhou,1,10,31.04,28.83333333,10,50.83333333,1.332916667,20.45833333,42.08333333,24.70833333
玉溪市,Yuxi,267,311,5304,53,云南省,Yunnan,1,14,35.47,18.91666667,7.14,30.375,0.8025,19.875,33.79166667,5.75
西安市,Xian,288,268,6101,61,陕西省,Shaanxi,3,120,576.56,86.95833333,2.5,133.5,1.25875,53,9.083333333,18.91666667
兰州市,Lanzhou,298,142,6201,62,甘肃省,Gansu,2,37,193.01,73.66666667,5.41,125.75,2.300833333,93.79166667,19.25,38.375
