SO2,Death_rate
6.708333333,0.96
14.20833333,1.23
28.08333333,5.5475
50.66666667,12.5
50.33333333,12.5
22.5,3.98
21.9,4.366
6.25,0.67
10.25,0.2
11.625,1.85
5.041666667,1.39
10.41666667,1.35
17.54166667,3.724
11.95075758,3.694545455
12.10606061,3.802727273
10.19444444,0.816666667
9.249999999,2.945
9.8125,2.92
4.416666667,1.82
10.45833333,1.03
6.291666667,0.93
18.75,6.39
5.75,7.14
18.91666667,2.5
38.375,5.41
