FIPS,County,pm25
26005,Allegan County,7.2
26017,Bay County,6.8
26049,Genesee County,7.4
26081,Kent County,8
26091,Lenawee County,8.5
26099,Macomb County,7.3
26125,Oakland County,7.7
26139,Ottawa County,8.3
26147,St. Clair County,7.6
26153,Schoolcraft County,4.3
26161,Washtenaw County,8.5
26163,Wayne County,12.1
27003,Anoka County,6.7
27005,Becker County,5.1
27007,Beltrami County,6
27017,Carlton County,3.1
27021,Cass County,4.2
27031,Cook County,4.4
27035,Crow Wing County,4.3
27037,Dakota County,7
27053,Hennepin County,8
27075,Lake County,4.2
27083,Lyon County,5.9
27123,Ramsey County,7.8
27137,St. Louis County,5.5
27139,Scott County,6.8
27171,Wright County,5.5
28011,Bolivar County,9
28033,DeSoto County,8.2
28035,Forrest County,8.8
28045,Hancock County,7.6
28047,Harrison County,9.2
28049,Hinds County,9.8
28059,Jackson County,8.6
29021,Buchanan County,8.5
29037,Cass County,6.3
29039,Cedar County,7.5
29047,Clay County,6.2
29095,Jackson County,7.6
29099,Jefferson County,6.6
29189,St. Louis County,9.1
29510,St. Louis city,9.3
30027,Fergus County,3.8
30029,Flathead County,6.6
30031,Gallatin County,0.9
30049,Lewis and Clark County,8.6
30053,Lincoln County,11.4
30063,Missoula County,8.5
30071,Phillips County,4.1
30075,Powder River County,5.3
30081,Ravalli County,4.6
30083,Richland County,4.5
30087,Rosebud County,4.3
30093,Silver Bow County,5.3
31055,Douglas County,6.9
31109,Lancaster County,6.5
31153,Sarpy County,7.8
31157,Scotts Bluff County,4.8
31177,Washington County,6.6
32003,Clark County,8
32005,Douglas County,3.8
32031,Washoe County,6
32510,Carson City,4.5
33001,Belknap County,3.6
33005,Cheshire County,4.8
33009,Grafton County,4.9
33011,Hillsborough County,3
33015,Rockingham County,4.7
34001,Atlantic County,6.7
34003,Bergen County,11
34007,Camden County,9.8
34011,Cumberland County,7.8
34013,Essex County,8.6
34015,Gloucester County,7.2
34017,Hudson County,7.9
34019,Hunterdon County,7.8
34021,Mercer County,7.6
34023,Middlesex County,7.8
34027,Morris County,5.6
34029,Ocean County,6.2
34031,Passaic County,7.7
34039,Union County,8.8
34041,Warren County,7.2
35001,Bernalillo County,7.7
35013,Doña Ana County,7.2
35049,Santa Fe County,2.9
35055,Taos County,5
36001,Albany County,7
36005,Bronx County,8.2
36013,Chautauqua County,5.9
36029,Erie County,7
36047,Kings County,7.6
36055,Monroe County,6.6
36061,New York County,8.6
36067,Onondaga County,6.1
36071,Orange County,5.8
36081,Queens County,7.8
36085,Richmond County,7.6
36101,Steuben County,5.6
36103,Suffolk County,6.4
37021,Buncombe County,6.1
37035,Catawba County,8.3
37051,Cumberland County,7.4
37057,Davidson County,8.8
37063,Durham County,7.7
37067,Forsyth County,9.5
37081,Guilford County,6.8
37101,Johnston County,8.1
37119,Mecklenburg County,9.5
37121,Mitchell County,5.6
37123,Montgomery County,7.9
37147,Pitt County,6.7
37173,Swain County,7.2
37183,Wake County,8.9
38007,Billings County,3.4
38013,Burke County,3.4
38015,Burleigh County,4.4
38017,Cass County,6.5
38025,Dunn County,4.1
38053,McKenzie County,3.6
38057,Mercer County,4.6
38065,Oliver County,4.6
38101,Ward County,4.5
38105,Williams County,4.1
39003,Allen County,7.4
39009,Athens County,6.4
39017,Butler County,11.9
39023,Clark County,9.8
39035,Cuyahoga County,10.8
39049,Franklin County,9.7
39061,Hamilton County,11.9
39067,Harrison County,7.6
39081,Jefferson County,9
39085,Lake County,6.5
39087,Lawrence County,6.7
39093,Lorain County,7.2
39095,Lucas County,8.8
39099,Mahoning County,8.3
39103,Medina County,8.1
39113,Montgomery County,9.4
39135,Preble County,8.3
39145,Scioto County,6.7
39151,Stark County,9.6
39153,Summit County,8.7
39155,Trumbull County,7.2
40019,Carter County,7.7
40027,Cleveland County,10
40031,Comanche County,8.2
40043,Dewey County,7.9
40071,Kay County,7.9
40105,Nowata County,8.3
40109,Oklahoma County,9.7
40121,Pittsburg County,8.1
40135,Sequoyah County,8.1
40143,Tulsa County,8.7
41013,Crook County,7.6
41025,Harney County,10.1
41029,Jackson County,8.7
41033,Josephine County,9.7
41035,Klamath County,10.5
41037,Lake County,6.6
41039,Lane County,9.2
41051,Multnomah County,6.5
41067,Washington County,6.9
42003,Allegheny County,12.2
42005,Armstrong County,7.7
42007,Beaver County,9.1
42011,Berks County,8.5
42015,Bradford County,7.4
42021,Cambria County,9
42027,Centre County,9.8
42041,Cumberland County,8.3
42043,Dauphin County,8.5
42045,Delaware County,8
42059,Greene County,6.5
42071,Lancaster County,9.7
42075,Lebanon County,8.8
42077,Lehigh County,8.5
42085,Mercer County,8
42091,Montgomery County,7.5
42095,Northampton County,7.9
42101,Philadelphia County,8.7
42115,Susquehanna County,6.6
42117,Tioga County,5.5
42125,Washington County,8.9
42129,Westmoreland County,7
44003,Kent County,3.9
44007,Providence County,8.3
44009,Washington County,3.9
45019,Charleston County,6.9
45037,Edgefield County,7.7
45041,Florence County,7.7
45045,Greenville County,8.2
45063,Lexington County,7.2
45083,Spartanburg County,7.7
45091,York County,7.8
46011,Brookings County,4.2
46013,Brown County,5.9
46029,Codington County,6.3
46033,Custer County,2.6
46065,Hughes County,3.3
46071,Jackson County,3.7
46099,Minnehaha County,3.9
46103,Pennington County,5.9
