FIPS,County,DeathRate
16041,Franklin County,1.14
16045,Gem County,1.46
16049,Idaho County,1.38
16053,Jerome County,0.69
16055,Kootenai County,0.94
16057,Latah County,0.26
16059,Lemhi County,1.91
16069,Nez Perce County,1.41
16077,Power County,0.9
16079,Shoshone County,3.26
16083,Twin Falls County,1.37
16085,Valley County,0.73
17001,Adams County,1.38
17019,Champaign County,0.61
17023,Clark County,1.74
17031,Cook County,2.1
17043,DuPage County,1.68
17049,Effingham County,1.56
17065,Hamilton County,1.8
17083,Jersey County,2.24
17085,Jo Daviess County,1.68
17089,Kane County,1.48
17097,Lake County,1.68
17099,LaSalle County,2.68
17111,McHenry County,1.13
17113,McLean County,1.16
17115,Macon County,2.07
17117,Macoupin County,2.55
17119,Madison County,1.89
17133,Monroe County,1.82
17143,Peoria County,1.56
17157,Randolph County,1.74
17161,Rock Island County,2.53
17163,St. Clair County,1.87
17167,Sangamon County,1.6
17179,Tazewell County,2.05
17185,Wabash County,1.24
17197,Will County,1.49
17201,Winnebago County,1.56
18003,Allen County,1.71
18005,Bartholomew County,1.52
18011,Boone County,1.28
18013,Brown County,3.41
18015,Carroll County,1.02
18019,Clark County,1.27
18027,Daviess County,2.81
18035,Delaware County,1.52
18037,Dubois County,1.31
18039,Elkhart County,1.41
18043,Floyd County,1.8
18051,Gibson County,1.64
18055,Greene County,2.6
18057,Hamilton County,1.09
18063,Hendricks County,1.76
18065,Henry County,1.3
18067,Howard County,1.75
18069,Huntington County,2.01
18071,Jackson County,1.12
18083,Knox County,1.24
18089,Lake County,1.52
18091,LaPorte County,1.81
18095,Madison County,2
18097,Marion County,1.6
18105,Monroe County,1.17
18107,Montgomery County,1.58
18109,Morgan County,1.69
18123,Perry County,1.91
18125,Pike County,2.38
18127,Porter County,1.11
18129,Posey County,1.19
18141,St. Joseph County,1.41
18145,Shelby County,1.96
18147,Spencer County,0.99
18153,Sullivan County,1.65
18157,Tippecanoe County,0.67
18163,Vanderburgh County,1.18
18167,Vigo County,1.64
18169,Wabash County,1.61
18173,Warrick County,1.5
18183,Whitley County,0.83
19013,Black Hawk County,1.69
19017,Bremer County,1.99
19033,Cerro Gordo County,1.42
19045,Clinton County,1.4
19055,Delaware County,2.07
19063,Emmet County,2.69
19085,Harrison County,3.98
19103,Johnson County,0.42
19111,Lee County,0.92
19113,Linn County,1.52
19137,Montgomery County,2.71
19139,Muscatine County,2
19147,Palo Alto County,1.03
19153,Polk County,0.97
19155,Pottawattamie County,1.19
19163,Scott County,1.04
19169,Story County,0.38
19171,Tama County,3.12
19177,Van Buren County,2.51
19193,Woodbury County,1.36
19197,Wright County,1.39
20057,Ford County,0.83
20091,Johnson County,1.22
20103,Leavenworth County,0.85
20107,Linn County,0.49
20133,Neosho County,1
20169,Saline County,1.4
20173,Sedgwick County,0.94
20177,Shawnee County,1.74
20181,Sherman County,1.63
20191,Sumner County,1.37
20195,Trego County,1.51
20209,Wyandotte County,1.21
21013,Bell County,1.4
21015,Boone County,0.51
21019,Boyd County,0.86
21029,Bullitt County,0.67
21037,Campbell County,0.65
21043,Carter County,0.72
21047,Christian County,1.14
21059,Daviess County,1.11
21061,Edmonson County,2.16
21067,Fayette County,0.62
21073,Franklin County,0.91
21089,Greenup County,0.79
21091,Hancock County,1.93
21093,Hardin County,0.65
21101,Henderson County,1.38
21111,Jefferson County,1
21113,Jessamine County,1.61
21117,Kenton County,0.77
21125,Laurel County,0.4
21139,Livingston County,2.18
21145,McCracken County,0.98
21151,Madison County,0.66
21175,Morgan County,0
21183,Ohio County,1.56
21185,Oldham County,1
21193,Perry County,0.98
21195,Pike County,1.09
21199,Pulaski County,1.17
21213,Simpson County,0.9
21221,Trigg County,0.39
21227,Warren County,0.73
21229,Washington County,1.25
22005,Ascension Parish,1.41
22015,Bossier Parish,2.07
22017,Caddo Parish,2.71
22019,Calcasieu Parish,1.94
22029,Concordia Parish,2.57
22033,East Baton Rouge Parish,2.18
22047,Iberville Parish,2.62
22051,Jefferson Parish,2.01
22055,Lafayette Parish,1.1
22057,Lafourche Parish,2.39
22063,Livingston Parish,1.41
22071,Orleans Parish,2.98
22073,Ouachita Parish,2.07
22075,Plaquemines Parish,1.19
22077,Pointe Coupee Parish,2.82
22079,Rapides Parish,2.35
22087,St. Bernard Parish,1.47
22089,St. Charles Parish,1.93
22093,St. James Parish,2.89
22095,St. John the Baptist Parish,4.16
22099,St. Martin Parish,2.25
22103,St. Tammany Parish,2.14
22105,Tangipahoa Parish,2.03
22109,Terrebonne Parish,2.2
22121,West Baton Rouge Parish,2.48
23001,Androscoggin County,1.48
23003,Aroostook County,2.59
23005,Cumberland County,1.29
23007,Franklin County,1.36
23009,Hancock County,3.7
23011,Kennebec County,1.56
23013,Knox County,0.96
23017,Oxford County,2.14
23019,Penobscot County,1.06
23029,Washington County,1.17
23031,York County,1.25
24001,Allegany County,2.81
24003,Anne Arundel County,1.44
24005,Baltimore County,2.38
24009,Calvert County,1.75
24013,Carroll County,3
24015,Cecil County,2.04
24017,Charles County,1.96
24019,Dorchester County,1.48
24021,Frederick County,1.63
24023,Garrett County,3.41
24025,Harford County,1.87
24027,Howard County,1.47
24029,Kent County,3.52
24031,Montgomery County,2.31
24033,Prince George's County,1.91
24043,Washington County,1.8
24510,Baltimore city,2.18
25001,Barnstable County,4.28
25003,Berkshire County,4.6
25005,Bristol County,2.85
25009,Essex County,2.71
25011,Franklin County,6.38
25013,Hampden County,3.64
25015,Hampshire County,4.59
25017,Middlesex County,3.31
25021,Norfolk County,4.28
25023,Plymouth County,3.7
25025,Suffolk County,2.33
25027,Worcester County,3.31
26005,Allegan County,1.39
26007,Alpena County,2.8
26017,Bay County,3.28
26019,Benzie County,3.74
26021,Berrien County,2.09
26027,Cass County,1.53
